"","x"
"429","LEG9_HUMAN"
"430","VAV_HUMAN"
"431","THOP1_HUMAN"
"432","IGHG1_HUMAN"
"433","EWS_HUMAN"
"434","FUS_HUMAN"
"435","TGM3_HUMAN"
"436","M3K12_HUMAN"
"437","LATS1_HUMAN"
"438","FLNB_HUMAN"
"439","RBMX_HUMAN"
"440","YTDC1_HUMAN"
"441","CNKR2_HUMAN"
"442","L2GL1_HUMAN"
"443","TYOBP_HUMAN"
"444","IF4G1_HUMAN"
"445","PDCD4_HUMAN"
"446","SHIP1_HUMAN"
"447","PELI2_HUMAN"
"448","CIDEA_HUMAN"
"449","IL37_HUMAN"
"450","A2MG_HUMAN"
"451","M3K8_HUMAN"
"452","TLN1_HUMAN"
"453","P3C2B_HUMAN"
"454","PALLD_HUMAN"
"455","CE192_HUMAN"
"456","FLNC_HUMAN"
"457","P3C2A_HUMAN"
"458","LC7L2_HUMAN"
"459","LFNG_HUMAN"
"460","AT2B1_HUMAN"
"461","GFI1_HUMAN"
"462","AT2C1_HUMAN"
"463","TBKB1_HUMAN"
"464","PPP6_HUMAN"
"465","TBA4A_HUMAN"
"466","GCN1_HUMAN"
"467","CBPC4_HUMAN"
"468","RS13_HUMAN"
"469","YTHD3_HUMAN"
"470","CDC42_HUMAN"
"471","SLBP_HUMAN"
"472","EF2_HUMAN"
"473","DYR_HUMAN"
"474","CAR19_HUMAN"
"475","NF2L1_HUMAN"
"476","FEM1A_HUMAN"
"477","CCD22_HUMAN"
"478","FXL18_HUMAN"
"479","SPHK2_HUMAN"
"480","MADD_HUMAN"
"481","TRIPC_HUMAN"
"482","P85B_HUMAN"
"483","UB2Q1_HUMAN"
"484","PAR10_HUMAN"
"485","PSB11_HUMAN"
"486","CJ090_HUMAN"
"487","EI2BE_HUMAN"
"488","SKP2_HUMAN"
"489","SPHK1_HUMAN"
"490","PSME4_HUMAN"
"491","FBX31_HUMAN"
"492","FBX15_HUMAN"
"493","GAB2_HUMAN"
"494","NLRC5_HUMAN"
"495","FBX17_HUMAN"
"496","PI3R6_HUMAN"
"497","PSB8_HUMAN"
"498","DEN1B_HUMAN"
"499","LCP2_HUMAN"
"500","MTPN_HUMAN"
"501","CCNB2_HUMAN"
"502","BABA1_HUMAN"
"503","SETD6_HUMAN"
"504","EPHA1_HUMAN"
"505","BRSK1_HUMAN"
"506","RGS14_HUMAN"
"507","CATB_HUMAN"
"508","KC1G3_HUMAN"
"509","KALRN_HUMAN"
"510","ACK1_HUMAN"
"511","LRRK1_HUMAN"
"512","AAPK2_HUMAN"
"513","PURB_HUMAN"
"514","FUBP3_HUMAN"
"515","DYN2_HUMAN"
"516","DGKD_HUMAN"
"517","MT3_HUMAN"
"518","ANXA4_HUMAN"
"519","PSN1_HUMAN"
"520","AGRB1_HUMAN"
"521","WNT5A_HUMAN"
"522","TNR12_HUMAN"
"523","CHD7_HUMAN"
"524","COLI_HUMAN"
"525","PRLD1_HUMAN"
"526","CADH5_HUMAN"
"527","C8AP2_HUMAN"
"528","ETS1_HUMAN"
"529","RTKN2_HUMAN"
"530","SIPA1_HUMAN"
"531","HIP1R_HUMAN"
"532","NDRG1_HUMAN"
"533","IPO7_HUMAN"
"534","AIMP1_HUMAN"
"535","LRFN1_HUMAN"
"536","MGAP_HUMAN"
"537","SDK2_HUMAN"
"538","BMP2K_HUMAN"
"539","TECR_HUMAN"
"540","CE350_HUMAN"
"541","ULK3_HUMAN"
"542","OBSCN_HUMAN"
"543","MYO9A_HUMAN"
"544","TAOK1_HUMAN"
"545","PLCE1_HUMAN"
"546","RN5A_HUMAN"
"547","STK36_HUMAN"
"548","LATS2_HUMAN"
"549","MIDN_HUMAN"
"550","MBD1_HUMAN"
"551","ROAA_HUMAN"
"552","SF3B1_HUMAN"
"553","SRRM2_HUMAN"
"554","TIM8B_HUMAN"
"555","ANXA2_HUMAN"
"556","HNRPM_HUMAN"
"557","MYEF2_HUMAN"
"558","QPCTL_HUMAN"
"559","RU17_HUMAN"
"560","DNMT1_HUMAN"
"561","HNRPL_HUMAN"
"562","ZCHC8_HUMAN"
"563","LUC7L_HUMAN"
"564","LC7L3_HUMAN"
"565","SRSF1_HUMAN"
"566","CPSF6_HUMAN"
"567","AFAM_HUMAN"
"568","CDN1A_HUMAN"
"569","RGAP1_HUMAN"
"570","MUC16_HUMAN"
"571","MIS_HUMAN"
"572","FUT4_HUMAN"
"573","SYT11_HUMAN"
"574","GPTC3_HUMAN"
"575","TOX_HUMAN"
"576","PIEZ2_HUMAN"
"577","CD248_HUMAN"
"578","GHRL_HUMAN"
"579","ZDH13_HUMAN"
"580","IFNL1_HUMAN"
"581","TSYL5_HUMAN"
"582","MUC5B_HUMAN"
"583","MUC4_HUMAN"
"584","PEDF_HUMAN"
"585","PIEZ1_HUMAN"
"586","PKHN1_HUMAN"
"587","IL25_HUMAN"
"588","SHSA5_HUMAN"
"589","MUC5A_HUMAN"
"590","BMP7_HUMAN"
"591","PER2_HUMAN"
"592","RAB7B_HUMAN"
"593","TNR4_HUMAN"
"594","MUC2_HUMAN"
"595","S35B2_HUMAN"
"596","KLH40_HUMAN"
"597","TSN6_HUMAN"
"598","WFS1_HUMAN"
"599","TR13B_HUMAN"
"600","MFHA1_HUMAN"
"601","FLVC1_HUMAN"
"602","RIPR2_HUMAN"
"603","NLRX1_HUMAN"
"604","NICA_HUMAN"
"605","CCL21_HUMAN"
"606","MUC19_HUMAN"
"607","PAR1_HUMAN"
"608","GCNT4_HUMAN"
"609","UBE3B_HUMAN"
"610","NTAL_HUMAN"
"611","PINX1_HUMAN"
"612","AQP1_HUMAN"
"613","CP26B_HUMAN"
"614","ARGI1_HUMAN"
"615","XRCC6_HUMAN"
"616","PP2AA_HUMAN"
"617","ACLY_HUMAN"
"618","HSP72_HUMAN"
"619","CILK1_HUMAN"
"620","TNK1_HUMAN"
"621","BUB1B_HUMAN"
"622","CDK4_HUMAN"
"623","PKN2_HUMAN"
"624","PTK6_HUMAN"
"625","STAT2_HUMAN"
"626","SRMS_HUMAN"
"627","KKCC2_HUMAN"
"628","FES_HUMAN"
"629","HIPK3_HUMAN"
"630","IL2RG_HUMAN"
"631","KCC4_HUMAN"
"632","TNIK_HUMAN"
"633","ERBB4_HUMAN"
"634","KS6A1_HUMAN"
"635","ZBT21_HUMAN"
"636","MSH6_HUMAN"
"637","IREB2_HUMAN"
"638","PP1A_HUMAN"
"639","RPA2_HUMAN"
"640","HSP7C_HUMAN"
"641","HSP76_HUMAN"
"642","CNO6L_HUMAN"
"643","TB182_HUMAN"
"644","SFPQ_HUMAN"
"645","TRPA1_HUMAN"
"646","MAGI1_HUMAN"
"647","FBX43_HUMAN"
"648","LHX3_HUMAN"
